"Package","Version"
"highr","0.9"
"Hmisc","4.6-0"
"hms","1.1.1"
"htmlTable","2.3.0"
"htmltools","0.5.2"
"htmlwidgets","1.5.4"
"httpuv","1.6.3"
"httr","1.4.2"
"hwriter","1.3.2"
"igraph","1.2.8"
"interactiveDisplayBase","1.32.0"
"IRanges","2.28.0"
"isoband","0.2.5"
"jpeg","0.1-9"
"jquerylib","0.1.4"
"jsonlite","1.7.2"
"KEGGREST","1.34.0"
"KernSmooth","2.23-20"
"knitr","1.36"
"labeling","0.4.2"
"lambda.r","1.2.4"
"later","1.3.0"
"lattice","0.20-45"
"latticeExtra","0.6-29"
"lazyeval","0.2.2"
"lifecycle","1.0.1"
"limma","3.50.0"
"locfit","1.5-9.4"
"magrittr","2.0.1"
"MASS","7.3-54"
"Matrix","1.3-4"
"MatrixGenerics","1.6.0"
"matrixStats","0.61.0"
"memoise","2.0.0"
"methods","4.1.0"
"mgcv","1.8-38"
"mime","0.12"
"munsell","0.5.0"
"nlme","3.1-153"
"nnet","7.3-16"
"openssl","1.4.5"
"optparse","1.7.1"
"org.Hs.eg.db","3.14.0"
"org.Mm.eg.db","3.14.0"
"OrganismDbi","1.36.0"
"parallel","4.1.0"
"patchwork","1.1.1"
"PFAM.db","3.14.0"
"pheatmap","1.0.12"
"pillar","1.6.4"
"pkgconfig","2.0.3"
"plogr","0.2.0"
"plyr","1.8.6"
"png","0.1-7"
"polyclip","1.10-0"
"prettyunits","1.1.1"
"progress","1.2.2"
"promises","1.2.0.1"
"ProtGenerics","1.26.0"
"purrr","0.3.4"
"qvalue","2.26.0"
"R.methodsS3","1.8.1"
"R.oo","1.24.0"
"R.utils","2.11.0"
"R6","2.5.1"
"rappdirs","0.3.3"
"RBGL","1.70.0"
"RColorBrewer","1.1-2"
"Rcpp","1.0.7"
"RcppArmadillo","0.10.7.3.0"
"RcppEigen","0.3.3.9.1"
"RCurl","1.98-1.5"
"ReportingTools","2.34.0"
"reshape","0.8.8"
"reshape2","1.4.4"
"restfulr","0.0.13"
"Rgraphviz","2.38.0"
"Rhtslib","1.26.0"
"rjson","0.2.20"
"rlang","0.4.12"
"rpart","4.1-15"
"Rsamtools","2.10.0"
"RSQLite","2.2.8"
"rstudioapi","0.13"
"rtracklayer","1.54.0"
"S4Vectors","0.32.2"
"sass","0.4.0"
"scales","1.1.1"
"scatterpie","0.1.7"
"shadowtext","0.0.9"
"shiny","1.7.1"
"snow","0.4-4"
"sourcetools","0.1.7"
"splines","4.1.0"
"stats","4.1.0"
"stats4","4.1.0"
"stringi","1.7.5"
"stringr","1.4.0"
"SummarizedExperiment","1.24.0"
"survival","3.2-13"
"sys","3.4"
"tcltk","4.1.0"
"tibble","3.1.6"
"tidygraph","1.2.0"
"tidyr","1.1.4"
"tidyselect","1.1.1"
"tidytree","0.3.6"
"tools","4.1.0"
"treeio","1.18.1"
"tweenr","1.0.2"
"utf8","1.2.2"
"utils","4.1.0"
"VariantAnnotation","1.40.0"
"vctrs","0.3.8"
"viridis","0.6.2"
"viridisLite","0.4.0"
"withr","2.4.2"
"xfun","0.28"
"XML","3.99-0.8"
"xml2","1.3.2"
"xtable","1.8-4"
"XVector","0.34.0"
"yaml","2.2.1"
"yulab.utils","0.0.4"
"zlibbioc","1.40.0"
